year,month,day,event,isHoliday
1394,2,11,انتشار نخستین روزنامه در ایران به نام «کاغذ اخبار» توسط «میرزا صالح شیرازی»,0
1394,2,12,شهادت استاد مرتضی مطهری,0
1394,2,12,ولادت امام علی علیه السلام و روز پدر,1
1394,2,12,درگذشت محمدرضا لطفی,0
1394,2,12,درگذشت لئوناردو داوینچی,0
1394,2,13,زادروز جرج پاجت تامسون فیزیک‌دان انگلیسی,0
1394,2,13,زادروز آلفرد کاستلر فیزیکدان فرانسوی,0
1394,2,14,وفات حضرت زینب سلام الله علیها,0
1394,2,14,زادروزخواجه عبدالله انصاری,0
1394,2,15,جشن میانه بهار,0
1394,2,15,روز جهانی ماما,0
1394,2,15,زادروز غلامحسین بنان,0
1394,2,16,درگذشت حسین منزوی شاعر نامدار ایرانی,0
1394,2,17,روز اسناد ملی و میراث مکتوب,0
1394,2,17,رابیندرانات تاگور شاعر,0
1394,2,17,درگذشت ویلارد بویل فیزیکدان کانادایی,0
1394,2,18,روز جهانی صلیب سرخ و هلال احمر,0
1394,2,19,درگذشت آلبرت آبراهام مایکلسون فیزیک‌دان آمریکایی,0
1394,2,20,درگذشت توماس یانگ فیزیک‌دان برجستهٔ انگلیسی,0
1394,2,20,نلسون ماندلا,0
1394,2,21,زادروز فرنگیس یگانگی بنیان‌گذار و نخستین مدیرعامل سازمان صنایع دستی ایران,0
1394,2,22,زادروز مریم میرزاخانی ریاضیدان ایرانی,0
1394,2,22,روز جهانی زن در ریاضیات (به افتخار روز تولد مریم میرزاخانی),0
1394,2,23,درگذشت ژوزف هانری دانشمند و فیزیکدان سرشناس آمریکایی,0
1394,2,24,شهادت امام موسی کاظم علیه السلام,0
1394,2,24,زادروز پرویز مشکاتیان آهنگساز,0
1394,2,25,روز بزرگداشت فردوسی,0
1394,2,26,مبعث  رسول اکرم,1
1394,2,27,روز ارتباطات و روابط عمومی,0
1394,2,27,زادروز ادوارد جنر,0
1394,2,28,روز بزرگداشت حکیم عمر خیام,0
1394,2,28,روز جهانی موزه و میراث فرهنگی,0
1394,2,28,زادروز برتراند راسل ریاضی‌دان,0
1394,2,29,زادروز ناتانیل هاثورن نویسنده آمریکایی,0
1394,2,29,زادروز یوهان گوتلیب فیشته فیلسوف ایدئالیست آلمانی,0
1394,2,30,زادروز جان استوارت‌میل,0
1394,2,30,درگذشت کریستف کلمب,0
1394,3,1,روز بهره وری و بهینه سازی مصرف,0
1394,3,1,ولادت سالار شهیدان,0
1394,3,1,روز بزرگداشت ملاصدرا,0
1394,3,1,زادروز جلیل شهناز,0
1394,3,1,درگذشت ویکتور هوگو شاعر و رمان‌نویس فرانسوی,0
1394,3,2,ولادت ابوالفضل العباس علیه السلام و روز جانباز,0
1394,3,2,درگذشت هنریک ایبسن شاعر,0
1394,3,3,فتح خرمشهر در عملیات بیت المقدس و روز مقاومت,0
1394,3,3,ولادت امام زین العابدین علیه السلام,0
1394,3,4,روز دزفول,0
1394,3,4,زادروز ریموند کارور,0
1394,3,5,درگذشت هوشنگ سیحون معمار,0
1394,3,6,خرداد روز,0
1394,3,6,پل گلدن گیت,0
1394,3,6,درگذشت ارنست روسکا فیزیکدان آلمانی,0
1394,3,7,زادروز پاتریک وایت نویسنده اهل کشور استرالیا,0
1394,3,7,درگذشت ایلیا پریگوژین شیمی فیزیکدان روسی,0
1394,3,8,زادروز پیتر هیگز فیزیک‌دان انگلیسی,0
1394,3,8,درگذشت خوآن رامون خیمنس شاعر اسپانیایی,0
1394,3,9,ولادت علی اکبر علیه السلام و روز جوان,0
