words
قمری
شمسی
هجری
میلادی
امساک
اذان عشائ
اذان مغرب
اذان عصر
اذان ظهر
اذان صبح
طلوع آفتاب
غروب آفتاب
نیمه شب شرعی
اذان
افق
پایتخت
شهر
حداکثر
بیشترین
گرمترین
گرم‌ترین
گرم ترین
حداقل
کمترین
کمینه
میانگین
دما
درجه
اندازه
چقدر
میزان
اختلاف
تفاوت
سردتر
سرد تر
گرم‌تر
گرمتر
گرم تر
سرد
گرم
دیروز
امروز
فردا
پارسال
امسال
پیش
بعد
روز
هفته
فروردین
اردیبهشت
خرداد
تیر
مرداد
شهریور
مهر
ابان
آبان
اذر
آذر
دی
اسفند
بهمن
سال
کدام روز
دیگر
آینده
قبل
گذشته
یک
دو
سه
چهار
پنج
شش
هفت
هشت 
نه
ده
یازده
دوازده
سیزده
چهارده
پانزده
شانزده
هفده
هجده
نوزده
بیست
سی
پس فردا
پریروز
پریسال
در
بعد از ظهر
عصر
شب
بامداد
صبح
نیم
ربع
مناسبت


