year,month,day,event,isHoliday
1396,1,30,زادروز گلن سیبورگ دانشمند آمریکایی، برندهٔ جایزه نوبل شیمی سال ۱۹۵۱,0
1396,2,1,روز بزرگداشت سعدی,0
1396,2,1,درگذشت سهراب سپهری شاعر و نقاش ایرانی,0
1396,2,2,جشن گیاه آوری؛ روز زمین,0
1396,2,2,زادروز قیصر امین‌پور نویسنده، مدرس دانشگاه و شاعر معاصرایرانی,0
1396,2,2,زادروز یاور همدانی، شاعر و نویسنده و پژوهشگر ایرانی,0
1396,2,3,روزبزرگداشت شیخ بهایی؛ روزملی کارآفرینی,0
1396,2,3,شهادت امام موسی کاظم علیه السلام,0
1396,2,3,روز جهانی کتاب و حق نشر,0
1396,2,4,آغاز به کار نخستین فرستنده عمومی رادیویی در ایران به نام «رادیو تهران»,0
1396,2,4,زادروز کارل اشپیتلر شاعر سوئیسی آلمانی، برندهٔ جایزه نوبل ادبیات سال ۱۹۱۹,0
1396,2,4,درگذشت ماکس فون لائو فیزیک‌دان آلمانی، برندهٔ جایزه نوبل فیزیک سال ۱۹۱۴,0
1396,2,5,مبعث  رسول اکرم,1
1396,2,5,زادروز گولیلمو مارکونی مهندس برق ایتالیایی، برندهٔ جایزه نوبل فیزیک,0
1396,2,5,زادروز جلیل ضیاءپور، پدر نقاشی مدرن ایران,0
1396,2,6,درگذشت بیورنستیرن بیورنسون نویسندهٔ نروژی، برندهٔ جایزه نوبل ادبیات سال ۱۹۰۳,0
1396,2,6,درگذشت کارل بوش شیمی‌دان و مهندس آلمانی، برندهٔ جایزه نوبل شیمی۱۹۳۱,0
1396,2,7,درگذشت رالف والدو امرسون فیلسوف و نویسندهٔ آمریکایی,0
1396,2,8,زادروز سیمین دانشور نویسنده و مترجم ایرانی,0
1396,2,9,روزشوراها,0
1396,2,9,روز جهانی روانشناس و مشاور,0
1396,2,9,درگذشت ذبیح‌الله صفا، پژوهشگر، مترجم و استاد ممتاز دانشگاه تهران,0
1396,2,10,جشن چهلم نوروز؛ روز ملی خلیج فارس,0
1396,2,10,ولادت سالار شهیدان، امام حسین علیه السلام و روز پاسدار,0
