event,event_key
زادروز روئال آمونسن، کاشف نروژی قطب جنوب,زادروز روئال آمونسن، کاشف نروژی قطب جنوب
درگذشت هاینریش بل نویسنده آلمانی، برندهٔ جایزه نوبل ادبیات سال ۱۹۷۲,درگذشت هاینریش بل نویسنده آلمانی، برندهٔ جایزه نوبل ادبیات سال ۱۹۷۲
درگذشت آنری پوانکاره ریاضیدان، فیزیکدان و فیلسوف علم فرانسوی,درگذشت آنری پوانکاره ریاضیدان، فیزیکدان و فیلسوف علم فرانسوی
اعلام پذیرش قطعنامه ۵۹۸ شورای امنیت از سوی ایران,اعلام پذیرش قطعنامه 598 شورای امنیت از سوی ایران
زادروز هندریک لورنتز فیزیکدان هلندی، برندهٔ جایزه نوبل فیزیک سال ۱۹۰۲,زادروز هندریک لورنتز فیزیکدان هلندی، برندهٔ جایزه نوبل فیزیک سال ۱۹۰۲
زادروز نلسون ماندلا از فعّالان برجستهٔ مخالف آپارتاید در آفریقای جنوبی، رئیس‌جمهور سابق این کشور و برندهٔ جایزهٔ صلح نوبل سال ۱۹۹۳,زادروز نلسون ماندلا از فعّالان برجستهٔ مخالف آپارتاید در آفریقای جنوبی، رئیس‌جمهور سابق این کشور و برندهٔ جایزهٔ صلح نوبل سال ۱۹۹۳
زادروز ادگار دگا نقاش فرانسوی,زادروز ادگار دگا نقاش فرانسوی
درگذشت فرانک مک‌کورت نویسندهٔ آمریکایی، برندهٔ جایزه پولیتزر,درگذشت فرانک مک‌کورت نویسندهٔ آمریکایی، برندهٔ جایزه پولیتزر
زادروز اریک آکسل کارلفلدت شاعر سوئدی، برندهٔ جایزه نوبل ادبیات پس از مرگش در سال ۱۹۳۱,زادروز اریک آکسل کارلفلدت شاعر سوئدی، برندهٔ جایزه نوبل ادبیات پس از مرگش در سال ۱۹۳۱
درگذشت گولیلمو مارکونی مهندس برق اهل ایتالیا، برندهٔ جایزه نوبل فیزیک سال ۱۹۰۹,درگذشت گولیلمو مارکونی مهندس برق اهل ایتالیا، برندهٔ جایزه نوبل فیزیک سال ۱۹۰۹
زادروز مارشال مک‌لوهان فیلسوف کانادایی، طراح مفهوم «دهکدهٔ جهانی»,زادروز مارشال مک‌لوهان فیلسوف کانادایی، طراح مفهوم «دهکدهٔ جهانی»
زادروز ارنست همینگوی نویسندهٔ آمریکایی، برندهٔ جایزه نوبل ادبیات سال ۱۹۵۴، خالق کتاب پیرمرد و دریا,زادروز ارنست همینگوی نویسندهٔ آمریکایی، برندهٔ جایزه نوبل ادبیات سال ۱۹۵۴، خالق کتاب پیرمرد و دریا
زادروز گوستاو هرتز فیزیکدان آلمانی، برنده جایزه فیزیک نوبل سال ۱۹۲۵,زادروز گوستاو هرتز فیزیکدان آلمانی، برنده جایزه فیزیک نوبل سال ۱۹۲۵
درگذشت کارل سندبرگ شاعر، نویسنده و ویراستار آمریکایی، برنده سه جایزه پولیتزر,درگذشت کارل سندبرگ شاعر، نویسنده و ویراستار آمریکایی، برنده سه جایزه پولیتزر
درگذشت دیوید وارک گریفیث، از پیشتازان سینما در آمریکا,درگذشت دیوید وارک گریفیث، از پیشتازان سینما در آمریکا
درگذشت ویلیام رمزی شیمیدان اسکاتلندی، کاشف گازهای نئون، آرگون، زنون، هلیوم و کریپتون، برنده جایزه نوبل شیمی سال ۱۹۰۴,درگذشت ویلیام رمزی شیمیدان اسکاتلندی، کاشف گازهای نئون، آرگون، زنون، هلیوم و کریپتون، برنده جایزه نوبل شیمی سال ۱۹۰۴
زادروز هنریک پونتوپیدان نویسنده دانمارکی، برنده جایزه نوبل ادبیات سال ۱۹۱۷,زادروز هنریک پونتوپیدان نویسنده دانمارکی، برنده جایزه نوبل ادبیات سال ۱۹۱۷
درگذشت ایزاک بشویس سینگر داستان‌نویس آمریکایی، برندهٔ جایزه نوبل ادبیات سال ۱۹۷۸,درگذشت ایزاک بشویس سینگر داستان‌نویس آمریکایی، برندهٔ جایزه نوبل ادبیات سال ۱۹۷۸
زادروز الیاس کانتی رمان‌نویس سوئیسی، برنده جایزه نوبل ادبیات ۱۹۸۱,زادروز الیاس کانتی رمان‌نویس سوئیسی، برنده جایزه نوبل ادبیات ۱۹۸۱
افتتاح بزرگترین پالایشگاه نفت سنگین جهان در بندرعباس,افتتاح بزرگترین پالایشگاه نفت سنگین جهان در بندرعباس
زادروز جرج برنارد شاو، نمایشنامه‌نویس و منتقد بریتانیایی ایرلندی تبار,زادروز جرج برنارد شاو، نمایشنامه‌نویس و منتقد بریتانیایی ایرلندی تبار
درگذشت گوتلوب فرگه ریاضیدان، منطقدان و فیلسوف آلمانی,درگذشت گوتلوب فرگه ریاضیدان، منطقدان و فیلسوف آلمانی
زادروز یوهان برنولی ریاضیدان اهل سوییس,زادروز یوهان برنولی ریاضیدان اهل سوییس
روز ترویج آموزش های فنی و حرفه ای,روز ترویج آموزش های فنی و حرفه ای
مرداد روز،جشن مردادگان,مرداد روز،جشن مردادگان
درگذشت ونسان ون گوگ نقاش هلندی,درگذشت ونسان ون گوگ نقاش هلندی
روز بزرگداشت شیخ شهاب الدین سهروردی,روز بزرگداشت شیخ شهاب الدین سهروردی
سالروز اهدای خون در ایران,سالروز اهدای خون در ایران
جشن چله تابستان,جشن چله تابستان
آغاز هفته جهانی شیردهی,آغاز هفته جهانی شیردهی
زادروز ژان باتیست لامارک زیست‌شناس فرانسوی,زادروز ژان باتیست لامارک زیست‌شناس فرانسوی
درگذشت الکساندر گراهام بل دانشمند بریتانیایی، مخترع تلفن,درگذشت الکساندر گراهام بل دانشمند بریتانیایی، مخترع تلفن
درگذشت ریموند کِلِوی کاروِر جونیور نویسندهٔ داستان‌های کوتاه و شاعر آمریکایی,درگذشت ریموند کِلِوی کاروِر جونیور نویسندهٔ داستان‌های کوتاه و شاعر آمریکایی
درگذشت ریچارد ویلشتتر شیمیدان آلمانی، برندهٔ جایزه نوبل شیمی سال ۱۹۱۵,درگذشت ریچارد ویلشتتر شیمیدان آلمانی، برندهٔ جایزه نوبل شیمی سال ۱۹۱۵
درگذشت آلکساندر سولژنیتسین نویسندهٔ روس، برندهٔ جایزه ادبیات نوبل سال ۱۹۷۰ میلادی,درگذشت آلکساندر سولژنیتسین نویسندهٔ روس، برندهٔ جایزه ادبیات نوبل سال ۱۹۷۰ میلادی
صدور فرمان مشروطیت,صدور فرمان مشروطیت
برگزاری اولین کنکور در ایران,برگزاری اولین کنکور در ایران
زادروز نیل آرمسترانگ، فضانورد آمریکایی و نخستین انسانی که بر کره ماه گام نهاد,زادروز نیل آرمسترانگ، فضانورد آمریکایی و نخستین انسانی که بر کره ماه گام نهاد
زادروز الکساندر فلمینگ دانشمند انگلیسی، کاشف پنی‌سیلین، برندهٔ جایزه نوبل فیزیولوژی و پزشکی سال ۱۹۴۵,زادروز الکساندر فلمینگ دانشمند انگلیسی، کاشف پنی‌سیلین، برندهٔ جایزه نوبل فیزیولوژی و پزشکی سال ۱۹۴۵
درگذشت تئودور آدورنو جامعه‌شناس، فیلسوف، موسیقی‌شناس و آهنگ‌ساز نئومارکسیست آلمانی,درگذشت تئودور آدورنو جامعه‌شناس، فیلسوف، موسیقی‌شناس و آهنگ‌ساز نئومارکسیست آلمانی
زادروز الینور اوستروم دانشمند آمریکایی، برندهٔ جایزه نوبل اقتصاد سال ۲۰۰۹,زادروز الینور اوستروم دانشمند آمریکایی، برندهٔ جایزه نوبل اقتصاد سال ۲۰۰۹
روز خبرنگار,روز خبرنگار
درگذشت نویل فرانسیس مات فیزیکدان انگلیسی، برندهٔ جایزه نوبل فیزیک سال ۱۹۷۷,درگذشت نویل فرانسیس مات فیزیکدان انگلیسی، برندهٔ جایزه نوبل فیزیک سال ۱۹۷۷
زادروز ژان پیاژه روان‌شناس، زیست‌شناس و شناخت‌شناس فرانسوی زبان,زادروز ژان پیاژه روان‌شناس، زیست‌شناس و شناخت‌شناس فرانسوی زبان
درگذشت هرمان هسه نویسنده و نقاش آلمانی، برندهٔ جایزه نوبل ادبیات سال ۱۹۴۶,درگذشت هرمان هسه نویسنده و نقاش آلمانی، برندهٔ جایزه نوبل ادبیات سال ۱۹۴۶
درگذشت میشل هایدن آهنگساز موسیقی اهل اتریش,درگذشت میشل هایدن آهنگساز موسیقی اهل اتریش
زادروز استیو وزنیاک مهندس کامپیوتر، مخترع و دانشمند آمریکایی، و از بنیان‌گذاران کمپانی اپل,زادروز استیو وزنیاک مهندس کامپیوتر، مخترع و دانشمند آمریکایی، و از بنیان‌گذاران کمپانی اپل
درگذشت مکس تیلر ویروس‌شناس آفریقای جنوبی آمریکایی، برندهٔ جایزه نوبل فیزیولوژی و پزشکی سال ۱۹۵۱,درگذشت مکس تیلر ویروس‌شناس آفریقای جنوبی آمریکایی، برندهٔ جایزه نوبل فیزیولوژی و پزشکی سال ۱۹۵۱
درگذشت توماس مان نویسندهٔ آلمانی، برندهٔ جایزه نوبل ادبیات سال ۱۹۲۹,درگذشت توماس مان نویسندهٔ آلمانی، برندهٔ جایزه نوبل ادبیات سال ۱۹۲۹
زادروز خاسینتو بناونته نمایش‌نامه‌نویس اسپانیایی، برندهٔ جایزه نوبل ادبیات سال ۱۹۲۲,زادروز خاسینتو بناونته نمایش‌نامه‌نویس اسپانیایی، برندهٔ جایزه نوبل ادبیات سال ۱۹۲۲
روز جهانی چپ دست ها,روز جهانی چپ دست ها
زادروز فیدل کاسترو، رئیس‌جمهور سابق کوبا,زادروز فیدل کاسترو، رئیس‌جمهور سابق کوبا
اربعین حسینی,اربعین حسینی
زادروز جان گالزورثی نویسنده و نمایشنامه نویس انگلیسی، برندهٔ جایزه نوبل ادبیات سال ۱۹۳۲,زادروز جان گالزورثی نویسنده و نمایشنامه نویس انگلیسی، برندهٔ جایزه نوبل ادبیات سال ۱۹۳۲
درگذشت پل ساباتیه شیمیدان فرانسوی، برندهٔ جایزه نوبل شیمی سال ۱۹۱۲,درگذشت پل ساباتیه شیمیدان فرانسوی، برندهٔ جایزه نوبل شیمی سال ۱۹۱۲
زادروز ناپلئون بناپارت، امپراتور فرانسه,زادروز ناپلئون بناپارت، امپراتور فرانسه
زادروز لویی دوبروی فیزیک‌دان فرانسوی، برندهٔ جایزه نوبل فیزیک سال ۱۹۲۹,زادروز لویی دوبروی فیزیک‌دان فرانسوی، برندهٔ جایزه نوبل فیزیک سال ۱۹۲۹
درگذشت ایروینگ لانگمویر شیمی‌دان و فیزیک‌دان آمریکایی، برنده جایزه نوبل شیمی سال ۱۹۳۲,درگذشت ایروینگ لانگمویر شیمی‌دان و فیزیک‌دان آمریکایی، برنده جایزه نوبل شیمی سال ۱۹۳۲
سالروز ورود آزادگانِ سرافراز به وطن,سالروز ورود آزادگانِ سرافراز به وطن
زادروز هرتا مولر نویسنده، شاعر و مقاله‌نویس رومانیایی‌تبار آلمانی، برندهٔ جایزه نوبل ادبیات سال ۲۰۰۹,زادروز هرتا مولر نویسنده، شاعر و مقاله‌نویس رومانیایی‌تبار آلمانی، برندهٔ جایزه نوبل ادبیات سال ۲۰۰۹
زادروز وی. اس. نایپل رمان‌نویس و مقاله‌نویس هندو ترینیدادی‌تبار بریتانیایی، برندهٔ جایزه نوبل ادبیات سال ۲۰۰۱,زادروز وی. اس. نایپل رمان‌نویس و مقاله‌نویس هندو ترینیدادی‌تبار بریتانیایی، برندهٔ جایزه نوبل ادبیات سال ۲۰۰۱
سالروز وقایع ۲۸ مرداد و برکناری دکتر محمد مصدق,سالروز وقایع 28 مرداد و برکناری دکتر محمد مصدق
سالروز فاجعه آتش زدن سینما رکس آبادان,سالروز فاجعه آتش زدن سینما رکس آبادان
روز جهانی عکاسی,روز جهانی عکاسی
درگذشت لینوس پاولینگ دانشمند آمریکایی، برندهٔ جایزه نوبل شیمی سال ۱۹۵۴ و جایزه نوبل صلح سال۱۹۶۲,درگذشت لینوس پاولینگ دانشمند آمریکایی، برندهٔ جایزه نوبل شیمی سال ۱۹۵۴ و جایزه نوبل صلح سال۱۹۶۲
آغاز به کار نخسین جشنواره فیلم کن در شهر کن فرانسه با رقابت ۱۱ فیلم برای کسب نخل طلایی,آغاز به کار نخسین جشنواره فیلم کن در شهر کن فرانسه با رقابت ۱۱ فیلم برای کسب نخل طلایی
درگذشت آدولف فون بایر شیمی‌دان آلمانی، برندهٔ جایزه نوبل شیمی سال ۱۹۰۵,درگذشت آدولف فون بایر شیمی‌دان آلمانی، برندهٔ جایزه نوبل شیمی سال ۱۹۰۵
درگذشت پل الریخ، زیست‌شناس آلمانی، برندهٔ جایزه نوبل فیزیولوژی و پزشکی در سال ۱۹۰۸,درگذشت پل الریخ، زیست‌شناس آلمانی، برندهٔ جایزه نوبل فیزیولوژی و پزشکی در سال ۱۹۰۸
روز پزشک,روز پزشک
زادروز ابن سینا پزشک و شاعر و از مشهورترین و تاثیرگذارترینِ فیلسوفان و دانشمندان ایران‌زمین,زادروز ابن سینا پزشک و شاعر و از مشهورترین و تاثیرگذارترینِ فیلسوفان و دانشمندان ایران‌زمین
رحلت  رسول اکرم؛شهادت امام حسن مجتبی علیه السلام,رحلت  رسول اکرم؛شهادت امام حسن مجتبی علیه السلام
درگذشت روژه مارتن دوگار نویسندهٔ فرانسوی، برندهٔ جایزه نوبل ادبیات سال ۱۹۳۷,درگذشت روژه مارتن دوگار نویسندهٔ فرانسوی، برندهٔ جایزه نوبل ادبیات سال ۱۹۳۷
روز بزرگداشت ابوعلی سینا و روز پزشک,روز بزرگداشت ابوعلی سینا و روز پزشک
درگذشت جان کندرو بیوشیمیست انگلیسی، برندهٔ جایزه نوبل شیمی سال ۱۹۶۲,درگذشت جان کندرو بیوشیمیست انگلیسی، برندهٔ جایزه نوبل شیمی سال ۱۹۶۲
آغاز هفته دولت,آغاز هفته دولت
هجرت پیامبر اکرم از مکه به مدینه,هجرت پیامبر اکرم از مکه به مدینه
زادروز پائولو کوئلیو نویسنده برزیلی,زادروز پائولو کوئلیو نویسنده برزیلی
زادروز ژان اگوست دومینیک انگر، نقاش نئوکلاسیک فرانسوی,زادروز ژان اگوست دومینیک انگر، نقاش نئوکلاسیک فرانسوی
زادروز داراب (کوروش),زادروز داراب (کوروش)
شهریور روز،جشن شهریورگان,شهریور روز،جشن شهریورگان
روز کارمند,روز کارمند
زادروز آنتوان لاووازیه، شیمیدان فرانسوی و بنیان‌گذار علم شیمی مدرن,زادروز آنتوان لاووازیه، شیمیدان فرانسوی و بنیان‌گذار علم شیمی مدرن
روز بزرگداشت محمدبن زکریای رازی و روز داروساز,روز بزرگداشت محمدبن زکریای رازی و روز داروساز
درگذشت چزاره پاوزه رمان نویس، شاعر، مترجم و منتقد ادبی اهل ایتالیا,درگذشت چزاره پاوزه رمان نویس، شاعر، مترجم و منتقد ادبی اهل ایتالیا
درگذشت چزاره پاوزه رمان نویس، شاعر، مترجم و منتقد ادبی اهل ایتالیا,درگذشت چزاره پاوزه رمان نویس، شاعر، مترجم و منتقد ادبی اهل ایتالیا
درگذشت لوکوربوزیه معمار، طراح، شهرساز، نویسنده و نقاش سوئیسی,درگذشت لوکوربوزیه معمار، طراح، شهرساز، نویسنده و نقاش سوئیسی
درگذشت لوکوربوزیه معمار، طراح، شهرساز، نویسنده و نقاش سوئیسی,درگذشت لوکوربوزیه معمار، طراح، شهرساز، نویسنده و نقاش سوئیسی
زادروز یوهان ولفگانگ گوته شاعر، رمان‌نویس، سیاستمدار و فیلسوف آلمانی,زادروز یوهان ولفگانگ گوته شاعر، رمان‌نویس، سیاستمدار و فیلسوف آلمانی
درگذشت ملوین شوارتز فیزیک‌دان آمریکایی، برندهٔ جایزه نوبل فیزیک سال۱۹۸۸,درگذشت ملوین شوارتز فیزیک‌دان آمریکایی، برندهٔ جایزه نوبل فیزیک سال۱۹۸۸
انفجار در دفتر نخست‌وزیری جمهوری اسلامی ایران، روز مبارزه با تروریسم,انفجار در دفتر نخست‌وزیری جمهوری اسلامی ایران، روز مبارزه با تروریسم
تولد ارنست رادفورد، فیزیکدان انگلیسی و پدر انرژی هسته ای,تولد ارنست رادفورد، فیزیکدان انگلیسی و پدر انرژی هسته ای
درگذشت علامه حلی از علمای شیعه قرن هشتم قمری,درگذشت علامه حلی از علمای شیعه قرن هشتم قمری
شهادت امام حسن عسکری علیه السلام,شهادت امام حسن عسکری علیه السلام
درگذشت ویلهلم وونت پزشک، روان‌شناس وفیزیولوژیست آلمانی، از پایه‌گذاران علم روان‌شناسی تجربی,درگذشت ویلهلم وونت پزشک، روان‌شناس وفیزیولوژیست آلمانی، از پایه‌گذاران علم روان‌شناسی تجربی
امضای معاهده تقسیم ایران بین روسیه و انگلیس,امضای معاهده تقسیم ایران بین روسیه و انگلیس
روزصنعت چاپ,روزصنعت چاپ
وقوع زلزله بویین زهرا و مرگ بیش از ۲۵ هزار نفر,وقوع زلزله بویین زهرا و مرگ بیش از 25 هزار نفر
وقوع آتش سوزی بزرگ لندن,وقوع آتش سوزی بزرگ لندن
درگذشت محمود حسابی فیزیکدان، سناتور، وزیر آموزش و پرورش و بنیانگذار دانشگاهی در ایران,درگذشت محمود حسابی فیزیکدان، سناتور، وزیر آموزش و پرورش و بنیانگذار دانشگاهی در ایران
روز بزرگداشت ابوریحان بیرونی,روز بزرگداشت ابوریحان بیرونی
روز تعاون,روز تعاون
میلاد رسول اکرم به روایت اهل سنت,میلاد رسول اکرم به روایت اهل سنت
زادروز ویلیام باتلر ییتس نویسنده و شاعر ایرلندی و برنده جایزه ادبیات نوبل,زادروز ویلیام باتلر ییتس نویسنده و شاعر ایرلندی و برنده جایزه ادبیات نوبل
زادروز ابوریحان بیرونی دانشمند بزرگ، ریاضی‌دان، ستاره‌شناس، تقویم‌شناس، انسان‌شناس، هندشناس و تاریخ‌نگار بزرگ ایرانی,زادروز ابوریحان بیرونی دانشمند بزرگ، ریاضی‌دان، ستاره‌شناس، تقویم‌شناس، انسان‌شناس، هندشناس و تاریخ‌نگار بزرگ ایرانی
درگذشت رودولف فیرخو پزشک، مردم‌شناس، آسیب‌شناس، تاریخدان پیشاتاریخ، زیست‌شناس و سیاستمدار آلمانی، از بنیانگذاران پزشکی اجتماعی,درگذشت رودولف فیرخو پزشک، مردم‌شناس، آسیب‌شناس، تاریخدان پیشاتاریخ، زیست‌شناس و سیاستمدار آلمانی، از بنیانگذاران پزشکی اجتماعی
زادروز ادوارد ویکتور اپلتون فیزیک‌دان انگلیسی، برنده جایزه نوبل فیزیک سال ۱۹۴۷,زادروز ادوارد ویکتور اپلتون فیزیک‌دان انگلیسی، برنده جایزه نوبل فیزیک سال ۱۹۴۷
درگذشت سولی پرودوم شاعر فرانسوی، نخستین برندهٔ جایزه ادبیات نوبل در سال ۱۹۰۱,درگذشت سولی پرودوم شاعر فرانسوی، نخستین برندهٔ جایزه ادبیات نوبل در سال ۱۹۰۱
درگذشت ادوین مک‌میلان فیزیکدان آمریکایی، برندهٔ جایزه نوبل شیمی ۱۹۵۱,درگذشت ادوین مک‌میلان فیزیکدان آمریکایی، برندهٔ جایزه نوبل شیمی ۱۹۵۱
قیام 17 شهریور,قیام 17 شهریور
زادروز فردریک میسترال نویسندهٔ فرانسوی، برندهٔ جایزه نوبل ادبیات سال۱۹۰۴,زادروز فردریک میسترال نویسندهٔ فرانسوی، برندهٔ جایزه نوبل ادبیات سال۱۹۰۴
درگذشت جلال آل احمد روشنفکر دینی، نویسنده و مترجم ایرانی و همسر سیمین دانشور,درگذشت جلال آل احمد روشنفکر دینی، نویسنده و مترجم ایرانی و همسر سیمین دانشور
میلاد رسول اکرم و امام جعفر صادق علیه السلام,میلاد رسول اکرم و امام جعفر صادق علیه السلام
درگذشت علینقی وزیری، موسیقی‌دان و آهنگ‌ساز ایرانی,درگذشت علینقی وزیری، موسیقی‌دان و آهنگ‌ساز ایرانی
درگذشت ژاک لاکان پزشک، فیلسوف و روانکاو برجستهٔ فرانسوی,درگذشت ژاک لاکان پزشک، فیلسوف و روانکاو برجستهٔ فرانسوی
درگذشت آیت الله سید محمود طالقانی,درگذشت آیت الله سید محمود طالقانی
روز جهانی پیشگیری از خودکشی,روز جهانی پیشگیری از خودکشی
درگذشت مری ولستون‌کرافت نویسندهٔ انگلیسی,درگذشت مری ولستون‌کرافت نویسندهٔ انگلیسی
حمله به برج‌های دوقلوی مرکز تجارت جهانی,حمله به برج‌های دوقلوی مرکز تجارت جهانی
درگذشت محمدعلی جناح بنیانگذار کشور پاکستان,درگذشت محمدعلی جناح بنیانگذار کشور پاکستان
روز سینما,روز سینما
درگذشت جانی کش خواننده، ترانه‌سرا، بازیگر و موسیقی‌دان آمریکایی,درگذشت جانی کش خواننده، ترانه‌سرا، بازیگر و موسیقی‌دان آمریکایی
درگذشت نورمن بورلاگ دانشمند آمریکایی، برندهٔ جایزه نوبل صلح سال ۱۹۷۰,درگذشت نورمن بورلاگ دانشمند آمریکایی، برندهٔ جایزه نوبل صلح سال ۱۹۷۰
روز گرامیداشت برنامه نویسان,روز گرامیداشت برنامه نویسان
کشته شدن شیخ محمد خیابانی از فعالان سیاسی در دوره انقلاب مشروطه ایران,کشته شدن شیخ محمد خیابانی از فعالان سیاسی در دوره انقلاب مشروطه ایران
سفر انوشه انصاری به‌عنوان اولین زن گردشگر فضایی به دور مدار زمین,سفر انوشه انصاری به‌عنوان اولین زن گردشگر فضایی به دور مدار زمین
درگذشت هانیبال الخاص، نقاش و مجسمه ساز ایرانی,درگذشت هانیبال الخاص، نقاش و مجسمه ساز ایرانی
انتخاب تئودور روزولت از حزب جمهوری‌خواه به عنوان بیست و ششمین رئیس جمهور ایالات متحده در پی ترور ویلیام مک کینلی,انتخاب تئودور روزولت از حزب جمهوری‌خواه به عنوان بیست و ششمین رئیس جمهور ایالات متحده در پی ترور ویلیام مک کینلی
زادروز ایوان پاولف روان‌شناس روس,زادروز ایوان پاولف روان‌شناس روس
اعدام صادق قطب‌زاده، وزیر سابق امور خارجه جمهوری اسلامی ایران,اعدام صادق قطب‌زاده، وزیر سابق امور خارجه جمهوری اسلامی ایران
ثبت دامنه اینترنتی جست‌وجوگر گوگل (google.com) پربازدیدترین وب سایت جهان,ثبت دامنه اینترنتی جست‌وجوگر گوگل (google.com) پربازدیدترین وب سایت جهان
زادروز مارکو پولو، جهانگرد ایتالیایی,زادروز مارکو پولو، جهانگرد ایتالیایی
درگذشت عبدالحسین زرین‌کوب خوانساری، ادیب، تاریخ‌نگار و منتقد ادبی برجسته ایران,درگذشت عبدالحسین زرین‌کوب خوانساری، ادیب، تاریخ‌نگار و منتقد ادبی برجسته ایران
درگذشت اوریانا فالاچی، روزنامه‌نگار و نویسندهٔ ایتالیایی,درگذشت اوریانا فالاچی، روزنامه‌نگار و نویسندهٔ ایتالیایی
زادروز موری گل مان فیزیکدان آمریکایی، برندهٔ جایزه نوبل فیزیک سال ۱۹۶۹,زادروز موری گل مان فیزیکدان آمریکایی، برندهٔ جایزه نوبل فیزیک سال ۱۹۶۹
زمین لرزه طبس به قدرت ۷,زمین لرزه طبس به قدرت 7
درگذشت ژان پیاژه روان‌شناس، زیست‌شناس و شناخت‌شناس سوئیسی,درگذشت ژان پیاژه روان‌شناس، زیست‌شناس و شناخت‌شناس سوئیسی
برگزاری انتخابات دوره نخست مجلس شورای ملی,برگزاری انتخابات دوره نخست مجلس شورای ملی
درگذشت رونالد راس زیست‌شناس انگلیسی، برندهٔ جایزه نوبل فیزیولوژی و پزشکی سال ۱۹۰۲ به خاطر مبارزه علیه بیماری مالاریا,درگذشت رونالد راس زیست‌شناس انگلیسی، برندهٔ جایزه نوبل فیزیولوژی و پزشکی سال ۱۹۰۲ به خاطر مبارزه علیه بیماری مالاریا
لغو عهدنامه ۱۹۷۵ الجزایر توسط صدام حسین,لغو عهدنامه ۱۹۷۵ الجزایر توسط صدام حسین
زادروز برنهارت ریمان ریاضی‌دان آلمانی,زادروز برنهارت ریمان ریاضی‌دان آلمانی
درگذشت کارل پوپر فیلسوف ونویسندهٔ انگلیسی,درگذشت کارل پوپر فیلسوف ونویسندهٔ انگلیسی
سالروز ترور میکونوس در شهر برلین,سالروز ترور میکونوس در شهر برلین
روز شعر و ادب پارسی و  روز بزرگداشت استاد شهریار,روز شعر و ادب پارسی و  روز بزرگداشت استاد شهریار
سالروز تأسیس روزنامه نیویورک تایمز,سالروز تأسیس روزنامه نیویورک تایمز
درگذشت سید محمدحسین شهریار شاعر نامدار ایرانی,درگذشت سید محمدحسین شهریار شاعر نامدار ایرانی
درگذشت ایتالو کالوینو نویسنده، خبرنگار و مقاله‌نویس ایتالیایی,درگذشت ایتالو کالوینو نویسنده، خبرنگار و مقاله‌نویس ایتالیایی
زادروز ویلیام گلدینگ شاعر و رمان‌نویس بریتانیایی، برندهٔ جایزه نوبل ادبیات در ۱۹۸۳,زادروز ویلیام گلدینگ شاعر و رمان‌نویس بریتانیایی، برندهٔ جایزه نوبل ادبیات در ۱۹۸۳
محاصره اورشلیم یا بیت‌المُقَّدَس توسط صلاح‌الدین ایوبی بنیان‌گذار دودمان ایوبیان,محاصره اورشلیم یا بیت‌المُقَّدَس توسط صلاح‌الدین ایوبی بنیان‌گذار دودمان ایوبیان
تأسیس مجمع ملی فرانسه در هنگامه‌ی انقلاب فرانسه که نقش مجلس مؤسسان قانون اساسی و قانون‌گذاری را به عهده داشت.,تأسیس مجمع ملی فرانسه در هنگامه‌ی انقلاب فرانسه که نقش مجلس مؤسسان قانون اساسی و قانون‌گذاری را به عهده داشت.
روز گفتگوی تمدنها,روز گفتگوی تمدنها
روز جهانی صلح,روز جهانی صلح
درگذشت آرتور شوپنهاور فیلسوف آلمانی,درگذشت آرتور شوپنهاور فیلسوف آلمانی
استقلال جمهوری ارمنستان از اتحاد جماهیر شوروی,استقلال جمهوری ارمنستان از اتحاد جماهیر شوروی
زادروز فریدون مشیری  شاعر ایرانی,زادروز فریدون مشیری  شاعر ایرانی
زادروز لئونارد کوهن شاعر، رمان‌نویس، خواننده و ترانه‌سرای کانادایی,زادروز لئونارد کوهن شاعر، رمان‌نویس، خواننده و ترانه‌سرای کانادایی
درگذشت ویرژیل شاعر روم باستان و خالق منظومه حماسی و ملی انه‌اید,درگذشت ویرژیل شاعر روم باستان و خالق منظومه حماسی و ملی انه‌اید
درگذشت پرویز مشکاتیان موسیقی‌دان و نوازنده ایرانی,درگذشت پرویز مشکاتیان موسیقی‌دان و نوازنده ایرانی
زادروز هایک کامرلینگ اونس فیزیکدان هلندی، برندهٔ جایزه نوبل فیزیک سال ۱۹۱۳,زادروز هایک کامرلینگ اونس فیزیکدان هلندی، برندهٔ جایزه نوبل فیزیک سال ۱۹۱۳
آغاز هفته دفاع مقدس,آغاز هفته دفاع مقدس
اعلام موجودیت جمهوری اول فرانسه,اعلام موجودیت جمهوری اول فرانسه
صدور اعلامیه آزادی بردگان در ایالات متحده آمریکا,صدور اعلامیه آزادی بردگان در ایالات متحده آمریکا
زادروز مایکل فارادی فیزیکدان و شیمیدان انگلیسی,زادروز مایکل فارادی فیزیکدان و شیمیدان انگلیسی
زادروز پرویز یاحقی، نوازنده‌‌ی چیره‌دست ویلون؛ موسیقیدان و آهنگساز ایرانی,زادروز پرویز یاحقی، نوازنده‌‌ی چیره‌دست ویلون؛ موسیقیدان و آهنگساز ایرانی
زادروز آندریا بوچلی خواننده‌ی ایتالیایی,زادروز آندریا بوچلی خواننده‌ی ایتالیایی
زادروز قوبلای خان پنجمین خانِ بزرگ امپراتوری مغول,زادروز قوبلای خان پنجمین خانِ بزرگ امپراتوری مغول
زادروز محمدرضا شجریان خواننده، موسیقی‌دان و خوشنویس ایرانی,زادروز محمدرضا شجریان خواننده، موسیقی‌دان و خوشنویس ایرانی
زادروز حسین منزوی شاعر ایرانی,زادروز حسین منزوی شاعر ایرانی
