event,event_key
روز بزرگداشت عطار نیشابوری,روز بزرگداشت عطار نیشابوری
کشتی مسافربر تایتانیک با ۲۲۰۰ مسافر و خدمه در حوالی کانادا غرق شد.,کشتی مسافربر تایتانیک با ۲۲۰۰ مسافر و خدمه در حوالی کانادا غرق شد.
درگذشت جرج فردریک هندل آهنگساز آلمانی,درگذشت جرج فردریک هندل آهنگساز آلمانی
زاد روز لئوناردو داوینچی دانشمند، نقاش، مجسمه‌ساز و معمار نامدار ایتالیایی,زاد روز لئوناردو داوینچی دانشمند، نقاش، مجسمه‌ساز و معمار نامدار ایتالیایی
درگذشت میخاییل لومونسف نویسنده و دانشمند روسی,درگذشت میخاییل لومونسف نویسنده و دانشمند روسی
زادروز چارلی چاپلین کمدین مشهور، کارگردان و آهنگساز برجستهٔ هالیوود، برندهٔ جایزه اسکار,زادروز چارلی چاپلین کمدین مشهور، کارگردان و آهنگساز برجستهٔ هالیوود، برندهٔ جایزه اسکار
درگذشت یاسوناری کاواباتا نویسنده ژاپنی، برندهٔ جایزه ادبیات نوبل,درگذشت یاسوناری کاواباتا نویسنده ژاپنی، برندهٔ جایزه ادبیات نوبل
درگذشت بنجامین فرانکلین ، دانشمند، نویسنده، ناشر، روزنامه‌نگار، سیاستمدار و دیپلمات دوران انقلاب استقلال آمریکا,درگذشت بنجامین فرانکلین ، دانشمند، نویسنده، ناشر، روزنامه‌نگار، سیاستمدار و دیپلمات دوران انقلاب استقلال آمریکا
درگذشت هنریک کارل پیتر دام زیست‌شناس و شیمیدان برندهٔ جایزه نوبل پزشکی ۱۹۴۳ از دانمارک,درگذشت هنریک کارل پیتر دام زیست‌شناس و شیمیدان برندهٔ جایزه نوبل پزشکی ۱۹۴۳ از دانمارک
روز ارتش جمهوری اسلامی ایران,روز ارتش جمهوری اسلامی ایران
روز جهانی میراث فرهنگی,روز جهانی میراث فرهنگی
روز علوم آزمایشگاهی، زاد روز حکیم سید اسماعیل جرجانی,روز علوم آزمایشگاهی، زاد روز حکیم سید اسماعیل جرجانی
درگذشت پی‌یر کوری فیزیکدان فرانسوی، برندهٔ جایزه نوبل فیزیک سال۱۹۰۳ به همراه ماری کوری,درگذشت پی‌یر کوری فیزیکدان فرانسوی، برندهٔ جایزه نوبل فیزیک سال۱۹۰۳ به همراه ماری کوری
زادروز گلن سیبورگ دانشمند آمریکایی، برندهٔ جایزه نوبل شیمی سال ۱۹۵۱,زادروز گلن سیبورگ دانشمند آمریکایی، برندهٔ جایزه نوبل شیمی سال ۱۹۵۱
روز بزرگداشت سعدی,روز بزرگداشت سعدی
درگذشت سهراب سپهری شاعر و نقاش ایرانی,درگذشت سهراب سپهری شاعر و نقاش ایرانی
جشن گیاه آوری؛ روز زمین,جشن گیاه آوری؛ روز زمین
زادروز قیصر امین‌پور نویسنده، مدرس دانشگاه و شاعر معاصرایرانی,زادروز قیصر امین‌پور نویسنده، مدرس دانشگاه و شاعر معاصرایرانی
زادروز یاور همدانی، شاعر و نویسنده و پژوهشگر ایرانی,زادروز یاور همدانی، شاعر و نویسنده و پژوهشگر ایرانی
روزبزرگداشت شیخ بهایی؛ روزملی کارآفرینی,روزبزرگداشت شیخ بهایی؛ روزملی کارآفرینی
شهادت امام جعفر صادق علیه السلام,شهادت امام جعفر صادق علیه السلام
روز جهانی کتاب و حق نشر,روز جهانی کتاب و حق نشر
آغاز به کار نخستین فرستنده عمومی رادیویی در ایران به نام «رادیو تهران»,آغاز به کار نخستین فرستنده عمومی رادیویی در ایران به نام «رادیو تهران»
